Saint,Date of birth,Date of death,Date of canonization,Notes
Aaron of Aleth[4],unknown,after 552[5],,Hermit[5]
Abachum,200s,270,found in Roman Martyrology[1],
Abadiu of Antinoe,300s,300s,,
Abamun of Tarnut,300s,372,,Martyr
Abanoub,300s,300s,,Coptic child martyr[6]
Abbán,unknown,c. 520,,
Abo of Tiflis,unknown,6 January 786,,Martyr
Abbo of Fleury[7],945,13 November 1004[8],,Assisted Archbishop of Oswald[7]
Abdas of Susa,300s,420,,
Abdel Moati Massabki,1800s,10 July 1860,20 October 2024 by Pope Francis,
Abdon,100s,c. 250,found in Roman Martyrology[1],
Abel of Reims,unknown,c. 751,,
Abercius of Hieropolis[9][10],unknown,c. 167,found in Roman Martyrology[1],
Aberoh and Atom,unknown,unknown,,Brothers
Abhor and Mehraela,unknown,unknown,,Brother and sister
Abibus of Edessa,307,322,,
Abra of Poitiers,12 December 339,c. 360,,
Abraham Kidunaia,unknown,c. 360,,
Abraham of Arbela,unknown,345,,
Abraham of Clermont,unknown,c. 479,,
Abraham of Cratia,c. 474,c. 558,,
Abraham of Cyrrhus,c. 350,422,,
Abraham of Rostov,900s,1045–1074,,
Abraham of Smolensk,1150 or 1172,c. 1222,1549 by Pope Paul III[11],
Abran,500s,500s,,
Abrosima,200s,341,,
Absadah,200s,c. 300,,
Abudimus,200s,305,found in Roman Martyrology[1],
Abundius,400s,469,found in Roman Martyrology[1],
Acca of Hexham,c. 660,c. 742,,
Aceolus and Acius,unknown,c. 290,,
Acepsimas of Hnaita,unknown,10 October 376,found in Roman Martyrology[1],
Acestes,unknown,c. 65,,One of the soldiers who led Paul the Apostle to his death
Achillas of Alexandria,unknown,June 313,,Patriarch of Alexandria
Achilleus,0s,c. 100 AD,found in Roman Martyrology[1],
Achilleus Kewanuka[12],1869,3 June 1886,18 October 1964 by Pope Paul VI[13],One of the Uganda Martyrs[13][14]
Achillius of Larissa,200s,330,,
Acisclus,200s,304,,
Adalard of Corbie,751,2 January 827,1026 by Pope John XIX[15],
Adalbard,600s,652,,
Adalbero II of Metz,c. 958,14 December 1005,,
Adalbero of Würzburg,c. 1010,6 October 1090,1883 by Pope Leo XIII,
Adalbert of Magdeburg,c. 910,20 June 981,,Archbishop of Magdeburg
Adalbert of Prague[16],956[17],23 April 997[17],3 February 999 by Pope Sylvester II[18],His skull is preserved and kept in the St. Vitus cathedral[19]
